name, cat1, cat2, cat3, c_prob1, c_prob2, c_prob3, obj1, obj2, obj3, o_prob1, o_prob2, o_prob3, no_face, f_bounds, no_people, p_bounds, corners, coverage, height, width 
Places365_test_00066022.jpg,/r/raceway 276,/p/parking_lot 257,/c/childs_room 89,0.946718871593,0.00541418371722,0.00280676502734,/r/raceway 276,/p/parking_lot 257,/c/childs_room 89,0.946718871593,0.00541418371722,0.00280676502734,0,[],0,(),949,0.675,512,854 
Places365_test_00167402.jpg,/c/canal/urban 79,/h/harbor 171,/p/promenade 273,0.950293123722,0.0142267318442,0.0125317443162,/c/canal/urban 79,/h/harbor 171,/p/promenade 273,0.950293123722,0.0142267318442,0.0125317443162,0,[],1,[[233  30  70 139]],1196,0.838888888889,512,683 
Places365_test_00255175.jpg,/a/arena/rodeo 17,/c/corral 105,/b/bullring 68,0.994383692741,0.00281874253415,0.00149623351172,/a/arena/rodeo 17,/c/corral 105,/b/bullring 68,0.994383692741,0.00281874253415,0.00149623351172,0,[],1,[[313   0  68 129]],964,0.845454545455,512,557 
Places365_test_00011743.jpg,/v/viaduct 347,/a/aqueduct 10,/b/bridge 66,0.997656106949,0.00148411421105,0.000195226530195,/v/viaduct 347,/a/aqueduct 10,/b/bridge 66,0.997656106949,0.00148411421105,0.000195226530195,0,[],0,(),1070,0.606666666667,512,766 
Places365_test_00285423.jpg,/b/bow_window/indoor 63,/a/alcove 3,/n/nursery 240,0.979654490948,0.0078329462558,0.00135547912214,/b/bow_window/indoor 63,/a/alcove 3,/n/nursery 240,0.979654490948,0.0078329462558,0.00135547912214,0,[],0,(),1086,0.595,773,512 
Places365_test_00236271.jpg,/v/volcano 350,/s/sky 306,/m/mountain 232,0.962852835655,0.00656916061416,0.00406219996512,/v/volcano 350,/s/sky 306,/m/mountain 232,0.962852835655,0.00656916061416,0.00406219996512,0,[],0,(),205,0.258,512,644 
Places365_test_00319742.jpg,/j/jail_cell 196,/k/kennel/outdoor 201,/a/archive 14,0.929848611355,0.0605705156922,0.00233106827363,/j/jail_cell 196,/k/kennel/outdoor 201,/a/archive 14,0.929848611355,0.0605705156922,0.00233106827363,0,[],0,(),1067,0.798333333333,512,772 
Places365_test_00173340.jpg,/b/berth 55,/c/car_interior 82,/b/boat_deck 58,0.867474913597,0.0450097769499,0.0103802205995,/b/berth 55,/c/car_interior 82,/b/boat_deck 58,0.867474913597,0.0450097769499,0.0103802205995,0,[],0,(),1221,0.824074074074,512,683 
Places365_test_00299116.jpg,/c/childs_room 89,/b/bedroom 52,/b/bedchamber 51,0.904510438442,0.0682838112116,0.00870544649661,/c/childs_room 89,/b/bedroom 52,/b/bedchamber 51,0.904510438442,0.0682838112116,0.00870544649661,0,[],0,(),716,0.501851851852,512,683 
Places365_test_00266979.jpg,/o/orchestra_pit 250,/m/music_studio 238,/t/television_studio 329,0.891265630722,0.0570896230638,0.0208237394691,/o/orchestra_pit 250,/m/music_studio 238,/t/television_studio 329,0.891265630722,0.0570896230638,0.0208237394691,4,[(326 473 362 437) (330 641 366 605) (114 349 150 313) (206 237 242 201)],6,[[187  26  91 181] [ 54  25  98 195] [127  33  91 183] [294  31  94 187] [132  83  68 137] [235  23 112 224]],830,0.61,512,770 
Places365_test_00062245.jpg,/h/hangar/indoor 169,/h/hangar/outdoor 170,/g/garage/indoor 156,0.903702914715,0.0763852074742,0.00330499769188,/h/hangar/indoor 169,/h/hangar/outdoor 170,/g/garage/indoor 156,0.903702914715,0.0763852074742,0.00330499769188,0,[],0,(),605,0.589068825911,480,640 
Places365_test_00083410.jpg,/a/auto_showroom 29,/g/garage/indoor 156,/p/parking_garage/indoor 255,0.945782244205,0.020750682801,0.00987731758505,/a/auto_showroom 29,/g/garage/indoor 156,/p/parking_garage/indoor 255,0.945782244205,0.020750682801,0.00987731758505,0,[],0,(),341,0.323333333333,512,768 
Places365_test_00080384.jpg,/i/iceberg 190,/i/ice_shelf 187,/i/ice_floe 186,0.879945278168,0.0450662784278,0.0352276302874,/i/iceberg 190,/i/ice_shelf 187,/i/ice_floe 186,0.879945278168,0.0450662784278,0.0352276302874,0,[],0,(),356,0.301666666667,512,767 
Places365_test_00021483.jpg,/s/swimming_pool/indoor 325,/j/jacuzzi/indoor 195,/w/water_park 353,0.940270483494,0.0308511909097,0.0169026888907,/s/swimming_pool/indoor 325,/j/jacuzzi/indoor 195,/w/water_park 353,0.940270483494,0.0308511909097,0.0169026888907,0,[],0,(),797,0.656666666667,768,512 
Places365_test_00117393.jpg,/b/bow_window/indoor 63,/l/living_room 215,/d/dining_room 121,0.892697036266,0.0284658987075,0.0176463816315,/b/bow_window/indoor 63,/l/living_room 215,/d/dining_room 121,0.892697036266,0.0284658987075,0.0176463816315,0,[],0,(),614,0.514814814815,512,683 
Places365_test_00279318.jpg,/c/crosswalk 112,/s/street 319,/d/downtown 125,0.961251497269,0.00867570657283,0.00642704032362,/c/crosswalk 112,/s/street 319,/d/downtown 125,0.961251497269,0.00867570657283,0.00642704032362,1,[(475 187 527 135)],7,[[189 370  85 169] [  0 368  87 197] [248 362 128 256] [203 166  75 149] [130 482  69 137] [127  68  66 132] [ 75  99 109 219]],1187,0.726388888889,909,512 
